type,start,end,level,cohort_n,kp_max,baseline_kp_max,baseline_heavy_mean,peak_heavy,heavy_ratio,baseline_median_loss_km,peak_median_loss_km
storm,2025-12-03,2025-12-04,G2,413,6.67,4.0,0.0,2,2.0,-0.0,0.023
storm,2025-12-10,2025-12-12,G2,413,6.0,3.33,3.0,6,2.0,0.004,0.016
storm,2026-01-02,2026-01-02,G1,414,5.0,3.33,7.3,8,1.09,0.006,0.003
storm,2026-01-10,2026-01-11,G1,414,5.67,4.0,11.7,18,1.54,0.009,0.015
storm,2026-01-16,2026-01-17,G1,414,5.0,3.33,18.7,23,1.23,0.003,0.008
storm,2026-01-19,2026-01-22,G4,414,8.67,5.0,21.3,23,1.08,0.008,0.05
storm,2026-01-28,2026-01-28,G1,415,5.0,3.33,17.7,17,0.96,0.006,0.006
storm,2026-02-05,2026-02-05,G1,415,5.33,3.67,9.0,9,1.0,0.007,0.028
storm,2026-02-15,2026-02-16,G1,415,5.67,4.67,6.7,6,0.9,0.005,0.007
storm,2026-02-22,2026-02-22,G1,414,5.33,4.0,5.0,6,1.2,0.002,0.003
storm,2026-03-03,2026-03-03,G1,415,5.0,2.67,9.0,13,1.44,0.012,0.007
storm,2026-03-13,2026-03-14,G2,415,6.0,4.0,5.3,7,1.31,0.006,0.026
storm,2026-03-20,2026-03-23,G3,418,7.0,1.67,3.3,5,1.5,0.011,0.037
storm,2026-03-25,2026-03-25,G1,418,5.0,7.0,3.3,3,0.9,0.025,0.009
storm,2026-04-02,2026-04-03,G2,419,6.33,3.33,1.7,8,4.8,0.01,0.016
storm,2026-04-18,2026-04-20,G1,421,5.33,2.67,6.0,15,2.5,0.005,0.023
storm,2026-05-04,2026-05-04,G2,422,6.0,4.33,9.0,11,1.22,-0.0,0.031
storm,2026-05-15,2026-05-16,G2,422,6.0,3.0,5.7,11,1.94,0.007,0.037
storm,2026-06-05,2026-06-05,G2,441,6.33,3.0,14.3,16,1.12,0.009,0.028
storm,2026-06-11,2026-06-11,G1,453,5.0,3.67,12.0,31,2.58,0.009,0.012
storm,2026-06-25,2026-06-25,G1,489,5.0,3.67,60.3,98,1.62,0.06,0.118
storm,2026-07-04,2026-07-04,G3,500,7.33,4.0,102.7,119,1.16,0.25,0.371
control,2025-11-25,2025-11-25,near,413,4.67,0.0,0.0,1,1.0,0.006,-0.0
control,2025-12-17,2025-12-17,near,413,4.67,3.0,6.7,7,1.05,0.005,0.003
control,2025-12-21,2025-12-21,near,414,4.67,4.33,7.0,8,1.14,0.001,0.01
control,2025-12-22,2025-12-22,near,414,4.67,4.67,7.0,8,1.14,0.008,0.003
control,2026-04-30,2026-04-30,near,422,4.67,3.0,8.0,12,1.5,0.011,0.01
control,2026-06-30,2026-06-30,near,500,4.67,2.67,116.0,119,1.03,0.224,0.17
